window,start_sec,end_sec,prediction,label,confidence,tcd_score,overall_verdict,tampered_ratio,avg_confidence
0,0.0,0.27,0,NORMAL,59.98,0.0,NORMAL,0.0,99.54
1,0.27,0.53,0,NORMAL,99.61,783440.75,NORMAL,0.0,99.54
2,0.53,0.8,0,NORMAL,99.62,790837.5,NORMAL,0.0,99.54
3,0.8,1.07,0,NORMAL,99.6,772142.1875,NORMAL,0.0,99.54
4,1.07,1.33,0,NORMAL,99.64,798685.6875,NORMAL,0.0,99.54
5,1.33,1.6,0,NORMAL,99.7,804329.9375,NORMAL,0.0,99.54
6,1.6,1.87,0,NORMAL,99.7,812587.6875,NORMAL,0.0,99.54
7,1.87,2.13,0,NORMAL,99.66,804689.125,NORMAL,0.0,99.54
8,2.13,2.4,0,NORMAL,99.64,810652.5625,NORMAL,0.0,99.54
9,2.4,2.67,0,NORMAL,99.57,795679.875,NORMAL,0.0,99.54
10,2.67,2.93,0,NORMAL,99.57,796443.625,NORMAL,0.0,99.54
11,2.93,3.2,0,NORMAL,99.55,811556.9375,NORMAL,0.0,99.54
12,3.2,3.47,0,NORMAL,99.62,815723.5625,NORMAL,0.0,99.54
13,3.47,3.73,0,NORMAL,99.68,829123.1875,NORMAL,0.0,99.54
14,3.73,4.0,0,NORMAL,99.7,831287.0625,NORMAL,0.0,99.54
15,4.0,4.27,0,NORMAL,99.67,823835.4375,NORMAL,0.0,99.54
16,4.27,4.53,0,NORMAL,99.7,829779.0625,NORMAL,0.0,99.54
17,4.53,4.8,0,NORMAL,99.71,829526.25,NORMAL,0.0,99.54
18,4.8,5.07,0,NORMAL,99.71,834098.625,NORMAL,0.0,99.54
19,5.07,5.33,0,NORMAL,99.69,834899.5625,NORMAL,0.0,99.54
20,5.33,5.6,0,NORMAL,99.62,835719.4375,NORMAL,0.0,99.54
21,5.6,5.87,0,NORMAL,99.61,835956.0,NORMAL,0.0,99.54
22,5.87,6.13,0,NORMAL,99.6,833157.75,NORMAL,0.0,99.54
23,6.13,6.4,0,NORMAL,99.63,835407.0,NORMAL,0.0,99.54
24,6.4,6.67,0,NORMAL,99.71,833761.6875,NORMAL,0.0,99.54
25,6.67,6.93,0,NORMAL,99.75,844164.375,NORMAL,0.0,99.54
26,6.93,7.2,0,NORMAL,99.77,845174.875,NORMAL,0.0,99.54
27,7.2,7.47,0,NORMAL,99.77,805837.9375,NORMAL,0.0,99.54
28,7.47,7.73,0,NORMAL,99.77,808406.4375,NORMAL,0.0,99.54
29,7.73,8.0,0,NORMAL,99.77,800386.0625,NORMAL,0.0,99.54
30,8.0,8.27,0,NORMAL,99.7,744655.5625,NORMAL,0.0,99.54
31,8.27,8.53,0,NORMAL,99.62,712073.3125,NORMAL,0.0,99.54
32,8.53,8.8,0,NORMAL,99.6,743247.6875,NORMAL,0.0,99.54
33,8.8,9.07,0,NORMAL,99.75,823313.3125,NORMAL,0.0,99.54
34,9.07,9.33,0,NORMAL,99.69,866030.125,NORMAL,0.0,99.54
35,9.33,9.6,0,NORMAL,99.66,1013314.0,NORMAL,0.0,99.54
36,9.6,9.87,0,NORMAL,99.68,1035693.4375,NORMAL,0.0,99.54
37,9.87,10.13,0,NORMAL,99.7,1035840.875,NORMAL,0.0,99.54
38,10.13,10.4,0,NORMAL,99.74,1042163.0,NORMAL,0.0,99.54
39,10.4,10.67,0,NORMAL,99.76,1056946.5,NORMAL,0.0,99.54
40,10.67,10.93,0,NORMAL,99.75,1056865.125,NORMAL,0.0,99.54
41,10.93,11.2,0,NORMAL,99.77,1058819.875,NORMAL,0.0,99.54
42,11.2,11.47,0,NORMAL,99.8,1070884.75,NORMAL,0.0,99.54
43,11.47,11.73,0,NORMAL,99.82,1075040.625,NORMAL,0.0,99.54
44,11.73,12.0,0,NORMAL,99.82,988264.0625,NORMAL,0.0,99.54
45,12.0,12.27,0,NORMAL,99.74,865408.625,NORMAL,0.0,99.54
46,12.27,12.53,0,NORMAL,99.6,364807.34375,NORMAL,0.0,99.54
47,12.53,12.8,0,NORMAL,99.6,87665.3125,NORMAL,0.0,99.54
48,12.8,13.07,0,NORMAL,99.86,143336.15625,NORMAL,0.0,99.54
49,13.07,13.33,0,NORMAL,99.6,248375.015625,NORMAL,0.0,99.54
50,13.33,13.6,0,NORMAL,99.85,230233.3125,NORMAL,0.0,99.54
51,13.6,13.87,0,NORMAL,99.6,172635.421875,NORMAL,0.0,99.54
52,13.87,14.13,0,NORMAL,99.6,167670.953125,NORMAL,0.0,99.54
53,14.13,14.4,0,NORMAL,99.6,746662.875,NORMAL,0.0,99.54
54,14.4,14.67,0,NORMAL,99.88,268762.0625,NORMAL,0.0,99.54
55,14.67,14.93,0,NORMAL,99.89,227742.453125,NORMAL,0.0,99.54
56,14.93,15.2,0,NORMAL,99.6,418678.03125,NORMAL,0.0,99.54
57,15.2,15.47,0,NORMAL,99.6,254980.609375,NORMAL,0.0,99.54
58,15.47,15.73,0,NORMAL,99.6,379988.34375,NORMAL,0.0,99.54
59,15.73,16.0,0,NORMAL,99.91,631045.25,NORMAL,0.0,99.54
60,16.0,16.27,0,NORMAL,99.76,1406323.625,NORMAL,0.0,99.54
61,16.27,16.53,0,NORMAL,99.87,1614462.125,NORMAL,0.0,99.54
62,16.53,16.8,0,NORMAL,99.85,1586091.25,NORMAL,0.0,99.54
63,16.8,17.07,0,NORMAL,99.82,1557157.75,NORMAL,0.0,99.54
64,17.07,17.33,0,NORMAL,99.81,1563026.875,NORMAL,0.0,99.54
65,17.33,17.6,0,NORMAL,99.81,1606772.5,NORMAL,0.0,99.54
66,17.6,17.87,0,NORMAL,99.78,1585511.25,NORMAL,0.0,99.54
67,17.87,18.13,0,NORMAL,99.78,1583092.0,NORMAL,0.0,99.54
68,18.13,18.4,0,NORMAL,99.77,1587094.5,NORMAL,0.0,99.54
69,18.4,18.67,0,NORMAL,99.73,1552018.625,NORMAL,0.0,99.54
70,18.67,18.93,0,NORMAL,99.71,1526405.25,NORMAL,0.0,99.54
71,18.93,19.2,0,NORMAL,99.72,1518396.75,NORMAL,0.0,99.54
72,19.2,19.47,0,NORMAL,99.75,1552500.875,NORMAL,0.0,99.54
73,19.47,19.73,0,NORMAL,99.79,1606142.75,NORMAL,0.0,99.54
74,19.73,20.0,0,NORMAL,99.82,1597015.5,NORMAL,0.0,99.54
75,20.0,20.27,0,NORMAL,99.83,1581701.75,NORMAL,0.0,99.54
76,20.27,20.53,0,NORMAL,99.81,1555307.75,NORMAL,0.0,99.54
77,20.53,20.8,0,NORMAL,99.8,1551399.875,NORMAL,0.0,99.54
78,20.8,21.07,0,NORMAL,99.79,1531746.5,NORMAL,0.0,99.54
79,21.07,21.33,0,NORMAL,99.79,1558545.75,NORMAL,0.0,99.54
80,21.33,21.6,0,NORMAL,99.76,1592133.0,NORMAL,0.0,99.54
81,21.6,21.87,0,NORMAL,99.75,1603483.625,NORMAL,0.0,99.54
82,21.87,22.13,0,NORMAL,99.72,1564012.5,NORMAL,0.0,99.54
83,22.13,22.4,0,NORMAL,99.7,1553206.375,NORMAL,0.0,99.54
