window,start_sec,end_sec,prediction,label,confidence,tcd_score,overall_verdict,tampered_ratio,avg_confidence
0,0.0,0.27,1,TAMPERED,99.63,0.0,TAMPERED,99.45,98.43
1,0.27,0.53,1,TAMPERED,100.0,1484046.125,TAMPERED,99.45,98.43
2,0.53,0.8,1,TAMPERED,98.08,1646214.125,TAMPERED,99.45,98.43
3,0.8,1.07,1,TAMPERED,100.0,1947408.75,TAMPERED,99.45,98.43
4,1.07,1.33,1,TAMPERED,100.0,2129261.0,TAMPERED,99.45,98.43
5,1.33,1.6,1,TAMPERED,100.0,1880048.75,TAMPERED,99.45,98.43
6,1.6,1.87,1,TAMPERED,95.57,1777805.5,TAMPERED,99.45,98.43
7,1.87,2.13,1,TAMPERED,100.0,1642038.875,TAMPERED,99.45,98.43
8,2.13,2.4,1,TAMPERED,95.57,1801563.125,TAMPERED,99.45,98.43
9,2.4,2.67,1,TAMPERED,96.09,1941572.875,TAMPERED,99.45,98.43
10,2.67,2.93,1,TAMPERED,100.0,2047993.0,TAMPERED,99.45,98.43
11,2.93,3.2,1,TAMPERED,100.0,1847199.875,TAMPERED,99.45,98.43
12,3.2,3.47,1,TAMPERED,98.42,2078662.375,TAMPERED,99.45,98.43
13,3.47,3.73,1,TAMPERED,100.0,2122988.25,TAMPERED,99.45,98.43
14,3.73,4.0,1,TAMPERED,100.0,2669192.5,TAMPERED,99.45,98.43
15,4.0,4.27,1,TAMPERED,95.53,686585.1875,TAMPERED,99.45,98.43
16,4.27,4.53,1,TAMPERED,99.73,654.3224487304688,TAMPERED,99.45,98.43
17,4.53,4.8,1,TAMPERED,95.57,46.2470817565918,TAMPERED,99.45,98.43
18,4.8,5.07,1,TAMPERED,100.0,1.685130000114441,TAMPERED,99.45,98.43
19,5.07,5.33,1,TAMPERED,100.0,0.5297200083732605,TAMPERED,99.45,98.43
20,5.33,5.6,1,TAMPERED,100.0,3.3099300861358643,TAMPERED,99.45,98.43
21,5.6,5.87,1,TAMPERED,99.56,1.8643300533294678,TAMPERED,99.45,98.43
22,5.87,6.13,1,TAMPERED,100.0,2.291260004043579,TAMPERED,99.45,98.43
23,6.13,6.4,1,TAMPERED,100.0,1.2739800214767456,TAMPERED,99.45,98.43
24,6.4,6.67,1,TAMPERED,100.0,0.6541000008583069,TAMPERED,99.45,98.43
25,6.67,6.93,1,TAMPERED,98.72,0.38762998580932617,TAMPERED,99.45,98.43
26,6.93,7.2,1,TAMPERED,99.6,0.31266000866889954,TAMPERED,99.45,98.43
27,7.2,7.47,1,TAMPERED,100.0,0.3261899948120117,TAMPERED,99.45,98.43
28,7.47,7.73,1,TAMPERED,100.0,0.3093999922275543,TAMPERED,99.45,98.43
29,7.73,8.0,1,TAMPERED,100.0,0.27522000670433044,TAMPERED,99.45,98.43
30,8.0,8.27,1,TAMPERED,100.0,0.2646700143814087,TAMPERED,99.45,98.43
31,8.27,8.53,1,TAMPERED,100.0,0.2182600051164627,TAMPERED,99.45,98.43
32,8.53,8.8,1,TAMPERED,100.0,0.3139300048351288,TAMPERED,99.45,98.43
33,8.8,9.07,1,TAMPERED,100.0,0.21296000480651855,TAMPERED,99.45,98.43
34,9.07,9.33,1,TAMPERED,100.0,0.18205000460147858,TAMPERED,99.45,98.43
35,9.33,9.6,1,TAMPERED,100.0,0.20946000516414642,TAMPERED,99.45,98.43
36,9.6,9.87,1,TAMPERED,95.64,0.2934199869632721,TAMPERED,99.45,98.43
37,9.87,10.13,1,TAMPERED,95.57,0.1443299949169159,TAMPERED,99.45,98.43
38,10.13,10.4,1,TAMPERED,96.44,0.12208999693393707,TAMPERED,99.45,98.43
39,10.4,10.67,1,TAMPERED,96.4,0.11507000029087067,TAMPERED,99.45,98.43
40,10.67,10.93,1,TAMPERED,96.09,0.07951000332832336,TAMPERED,99.45,98.43
41,10.93,11.2,1,TAMPERED,96.74,0.06250999867916107,TAMPERED,99.45,98.43
42,11.2,11.47,1,TAMPERED,96.74,0.06036999821662903,TAMPERED,99.45,98.43
43,11.47,11.73,1,TAMPERED,99.61,0.04933999851346016,TAMPERED,99.45,98.43
44,11.73,12.0,1,TAMPERED,100.0,0.04269000142812729,TAMPERED,99.45,98.43
45,12.0,12.27,1,TAMPERED,97.53,0.033879999071359634,TAMPERED,99.45,98.43
46,12.27,12.53,1,TAMPERED,97.94,0.032979998737573624,TAMPERED,99.45,98.43
47,12.53,12.8,1,TAMPERED,95.33,0.030880000442266464,TAMPERED,99.45,98.43
48,12.8,13.07,1,TAMPERED,95.57,24015.96875,TAMPERED,99.45,98.43
49,13.07,13.33,1,TAMPERED,93.31,2100732.75,TAMPERED,99.45,98.43
50,13.33,13.6,1,TAMPERED,80.03,1157502.625,TAMPERED,99.45,98.43
51,13.6,13.87,1,TAMPERED,100.0,1111470.375,TAMPERED,99.45,98.43
52,13.87,14.13,1,TAMPERED,100.0,1263516.0,TAMPERED,99.45,98.43
53,14.13,14.4,1,TAMPERED,100.0,1322418.375,TAMPERED,99.45,98.43
54,14.4,14.67,1,TAMPERED,100.0,1552307.375,TAMPERED,99.45,98.43
55,14.67,14.93,1,TAMPERED,100.0,1653237.375,TAMPERED,99.45,98.43
56,14.93,15.2,1,TAMPERED,100.0,1763463.125,TAMPERED,99.45,98.43
57,15.2,15.47,1,TAMPERED,100.0,1812666.25,TAMPERED,99.45,98.43
58,15.47,15.73,1,TAMPERED,99.4,1823030.375,TAMPERED,99.45,98.43
59,15.73,16.0,1,TAMPERED,100.0,1856735.75,TAMPERED,99.45,98.43
60,16.0,16.27,1,TAMPERED,99.32,1836650.875,TAMPERED,99.45,98.43
61,16.27,16.53,1,TAMPERED,99.35,1880375.0,TAMPERED,99.45,98.43
62,16.53,16.8,1,TAMPERED,99.31,1942960.0,TAMPERED,99.45,98.43
63,16.8,17.07,1,TAMPERED,99.67,2012115.125,TAMPERED,99.45,98.43
