window,start_sec,end_sec,prediction,label,confidence,tcd_score,overall_verdict,tampered_ratio,avg_confidence
0,0.0,0.27,1,TAMPERED,100.0,0.0,TAMPERED,100.0,99.5
1,0.27,0.53,1,TAMPERED,100.0,282668.78125,TAMPERED,100.0,99.5
2,0.53,0.8,1,TAMPERED,100.0,274585.6875,TAMPERED,100.0,99.5
3,0.8,1.07,1,TAMPERED,100.0,300047.15625,TAMPERED,100.0,99.5
4,1.07,1.33,1,TAMPERED,99.7,310778.21875,TAMPERED,100.0,99.5
5,1.33,1.6,1,TAMPERED,99.7,302852.9375,TAMPERED,100.0,99.5
6,1.6,1.87,1,TAMPERED,100.0,319144.15625,TAMPERED,100.0,99.5
7,1.87,2.13,1,TAMPERED,100.0,309625.65625,TAMPERED,100.0,99.5
8,2.13,2.4,1,TAMPERED,100.0,311234.40625,TAMPERED,100.0,99.5
9,2.4,2.67,1,TAMPERED,95.3,300963.3125,TAMPERED,100.0,99.5
10,2.67,2.93,1,TAMPERED,97.79,253392.40625,TAMPERED,100.0,99.5
11,2.93,3.2,1,TAMPERED,99.44,150808.046875,TAMPERED,100.0,99.5
12,3.2,3.47,1,TAMPERED,99.44,300070.4375,TAMPERED,100.0,99.5
13,3.47,3.73,1,TAMPERED,99.44,8471.1416015625,TAMPERED,100.0,99.5
14,3.73,4.0,1,TAMPERED,98.59,10281.8037109375,TAMPERED,100.0,99.5
15,4.0,4.27,1,TAMPERED,100.0,12179.4716796875,TAMPERED,100.0,99.5
16,4.27,4.53,1,TAMPERED,99.64,11955.34375,TAMPERED,100.0,99.5
17,4.53,4.8,1,TAMPERED,100.0,12530.05859375,TAMPERED,100.0,99.5
18,4.8,5.07,1,TAMPERED,99.68,12621.4638671875,TAMPERED,100.0,99.5
19,5.07,5.33,1,TAMPERED,100.0,16260.5859375,TAMPERED,100.0,99.5
20,5.33,5.6,1,TAMPERED,91.59,116355.703125,TAMPERED,100.0,99.5
21,5.6,5.87,1,TAMPERED,100.0,14331.439453125,TAMPERED,100.0,99.5
22,5.87,6.13,1,TAMPERED,100.0,18983.572265625,TAMPERED,100.0,99.5
23,6.13,6.4,1,TAMPERED,100.0,30357.3828125,TAMPERED,100.0,99.5
24,6.4,6.67,1,TAMPERED,100.0,156114.296875,TAMPERED,100.0,99.5
25,6.67,6.93,1,TAMPERED,100.0,92036.515625,TAMPERED,100.0,99.5
26,6.93,7.2,1,TAMPERED,100.0,114812.5625,TAMPERED,100.0,99.5
27,7.2,7.47,1,TAMPERED,100.0,19639.59375,TAMPERED,100.0,99.5
28,7.47,7.73,1,TAMPERED,99.32,183474.09375,TAMPERED,100.0,99.5
29,7.73,8.0,1,TAMPERED,100.0,297628.90625,TAMPERED,100.0,99.5
30,8.0,8.27,1,TAMPERED,100.0,293314.5625,TAMPERED,100.0,99.5
31,8.27,8.53,1,TAMPERED,99.74,288848.28125,TAMPERED,100.0,99.5
32,8.53,8.8,1,TAMPERED,99.7,297786.21875,TAMPERED,100.0,99.5
33,8.8,9.07,1,TAMPERED,100.0,294814.5625,TAMPERED,100.0,99.5
34,9.07,9.33,1,TAMPERED,100.0,281299.8125,TAMPERED,100.0,99.5
35,9.33,9.6,1,TAMPERED,100.0,277963.5625,TAMPERED,100.0,99.5
36,9.6,9.87,1,TAMPERED,100.0,275628.71875,TAMPERED,100.0,99.5
37,9.87,10.13,1,TAMPERED,100.0,280572.875,TAMPERED,100.0,99.5
38,10.13,10.4,1,TAMPERED,100.0,277305.1875,TAMPERED,100.0,99.5
